(5491, 1566)
(5491, 17073)
(8063, 3080)
(8063, 5458)
(8063, 12335)
(8064, 5459)
(13602, 14428)
(13602, 16256)
(13602, 17983)
(13603, 14429)
(19591, 3699)
(19591, 20911)
(19635, 11640)
(19636, 11639)
(19637, 4045)
(19637, 11638)
(19637, 19596)
(19638, 19597)
(19639, 19598)
(21533, 30)
(21533, 17274)
(22194, 9288)
(22195, 9289)
(22195, 12636)
(22195, 14851)
(22196, 9290)
(22197, 9291)
(22233, 3079)
(22234, 3080)
(22234, 5458)
(22234, 12335)
(25600, 13552)
(27747, 15754)
(27748, 15755)
(27748, 16003)
(27749, 15756)
(28230, 4396)
(28231, 4395)
(28231, 5229)
(28231, 19557)
(28410, 8762)
(34732, 6129)
(34732, 10957)
(34733, 10958)
(34734, 10959)
(34735, 10960)
(35026, 5878)
(35874, 7467)
(35875, 7466)
(35875, 9666)
(35876, 9667)
(35877, 9668)
(44789, 1076)
(44789, 7297)
(47310, 13902)
(47310, 18510)
(49793, 11505)
(49794, 11504)
(49795, 8514)
(49795, 11503)
(49795, 16720)
(52644, 11504)
(52645, 8514)
(52645, 11503)
(52645, 16720)
(52646, 8515)
(52647, 8516)
(54055, 488)
(54056, 487)
(54056, 18816)
(54991, 6129)
(54991, 10957)
(54992, 10958)
(56785, 3587)
(56785, 6161)
(56785, 11105)
(58151, 4395)
(58151, 5229)
(58151, 19557)
(58152, 19556)
(58780, 12637)
(58781, 9289)
(58781, 12636)
(58781, 14851)
(59089, 3862)
(59090, 3861)
(59091, 3860)
(59091, 9824)
(68269, 15755)
(68269, 16003)
(71992, 18625)
(71993, 18624)
(71994, 18623)
(73901, 6963)
(73902, 6962)
(81674, 15079)
(81675, 11178)
(81675, 15080)
(81675, 16078)
(81676, 15081)
(81676, 16077)
(81677, 16076)
(81678, 16075)
(88762, 1804)
(88762, 19936)
(89268, 8455)
(89269, 8454)
(89269, 10269)
(89270, 8453)
(89271, 8452)
(89272, 8451)
(90176, 8454)
(90176, 10269)
(94156, 14427)
(94157, 14428)
(94157, 16256)
(94157, 17983)
(94158, 17982)
(98548, 8908)
(98548, 13023)
(98548, 15280)
(101864, 7683)
(101864, 10045)
(101865, 7682)
(101866, 7681)
(103306, 4046)
(103307, 4045)
(103307, 11638)
(103307, 19596)
(103308, 4044)
(103308, 11637)
(103309, 4043)
(104579, 8907)
(104579, 15281)
(104580, 8908)
(104580, 13023)
(104580, 15280)
(104581, 8909)
(106909, 1804)
(106909, 19936)
(107522, 3860)
(107522, 9824)
(107523, 3859)
(109228, 6397)
(113562, 8294)
(113562, 10835)
(113562, 14169)
(113563, 14170)
(114639, 12137)
(114640, 12138)
(116268, 3287)
(116268, 7005)
(116268, 10636)
(116269, 3286)
(116269, 7006)
(116723, 15079)
(116724, 11178)
(116724, 15080)
(116724, 16078)
(118139, 12601)
(118140, 12600)
(123230, 8294)
(123230, 10835)
(123230, 14169)
(124163, 3587)
(124163, 6161)
(124163, 11105)
(124757, 3287)
(124757, 7005)
(124757, 10636)
(124758, 3286)
(124758, 7006)
(129556, 3587)
(129556, 6161)
(129556, 11105)
(129557, 6160)
(130782, 12168)
(130783, 7235)
(130783, 12167)
(130783, 16748)
(131713, 9960)
(131714, 9961)
(131714, 20629)
(131715, 9962)
(131715, 20628)
(131762, 3287)
(131762, 7005)
(131762, 10636)
(131763, 3286)
(131763, 7006)
(131764, 3285)
(131764, 7007)
(131765, 7008)
(134202, 13902)
(134202, 18510)
(141180, 11178)
(141180, 15080)
(141180, 16078)
(141181, 11179)
(141182, 11180)
(144134, 1567)
(144134, 17074)
(144135, 1566)
(144135, 17073)
(144136, 17072)
(144161, 17212)
(150187, 7235)
(150187, 12167)
(150187, 16748)
(153061, 5457)
(153062, 3080)
(153062, 5458)
(153062, 12335)
(153063, 3081)
(153707, 7235)
(153707, 12167)
(153707, 16748)
(153778, 4560)
(153874, 17984)
(153875, 14428)
(153875, 16256)
(153875, 17983)
(155572, 769)
(155573, 770)
(158924, 8907)
(158924, 15281)
(158925, 8908)
(158925, 13023)
(158925, 15280)
(158926, 15279)
(165784, 3699)
(165784, 20911)
(165785, 3700)
(174251, 8514)
(174251, 11503)
(174251, 16720)
(174252, 8515)
(176085, 30)
(176085, 17274)
(178107, 4046)
(178108, 4045)
(178108, 11638)
(178108, 19596)
(180726, 1076)
(180726, 7297)
(182848, 6525)
(182849, 6526)
(183052, 7907)
(184593, 3493)
(186522, 4395)
(186522, 5229)
(186522, 19557)
(186523, 4394)
(186523, 5230)
(190450, 8294)
(190450, 10835)
(190450, 14169)
(190451, 14170)
(192792, 14850)
(192793, 9289)
(192793, 12636)
(192793, 14851)
(192794, 9290)
(193127, 9961)
(193127, 20629)
(193672, 10047)
(193673, 7684)
(193673, 10046)
(193674, 7683)
(193674, 10045)
(197287, 487)
(197287, 18816)
(197722, 9665)
(197723, 7466)
(197723, 9666)
(197724, 7465)
